loan_id	customer_id	loan_type	region_killeen	origination_date	maturity_date	origination_amount	current_balance	interest_rate	collateral_value	purpose_segment	days_past_due	loan_status	annual_income	credit_score	dti_ratio	LTV_ratio
L00000001	C221958	Residential Mortgage	Other Texas Region	2019-10-14	2034-10-14	189284.99	152928.65	4.1339	210135.6	Residential_Mortgage	0	Current	48971	700	0.41	0.7278
L00000002	C771155	Commercial Real Estate (CRE)	Killeen, TX Metro	2023-11-13	2044-11-13	2152383.08	1705731.97	5.6614	2420927.3	Industrial	0	Current	-1	-1	-1	0.7046
L00000003	C231932	Consumer Auto	Killeen, TX Metro	2020-07-18	2029-07-18	135846.6	27938.87	9.7127	136243.75	Consumer_Auto	0	Current	113816	789	0.27	0.2051
L00000004	C465838	Commercial Real Estate (CRE)	Killeen, TX Metro	2022-08-31	2027-08-31	2649617.73	1076972.77	6.625	3386929.64	Industrial	0	Current	-1	-1	-1	0.318
L00000005	C359178	Consumer Auto	Other Texas Region	2020-07-31	2041-07-31	229258.7	178893.04	12.4159	229896.9	Consumer_Auto	0	Current	125588	814	0.24	0.7781
L00000006	C744167	Residential Mortgage	Other Texas Region	2022-07-17	2031-07-17	387343.41	46140.8	6.3811	525509.97	Residential_Mortgage	0	Current	132448	742	0.39	0.0878
L00000007	C210268	Residential Mortgage	Other Texas Region	2021-03-19	2029-03-19	51768.02	34916.74	6.2669	57345.21	Residential_Mortgage	60	Past Due (60)	20000	702	0.39	0.6089
L00000008	C832180	Commercial Real Estate (CRE)	Killeen, TX Metro	2022-11-14	2042-11-14	3396166.22	518845.98	7.581	3712198.73	Industrial	0	Current	-1	-1	-1	0.1398
L00000009	C154886	Commercial Real Estate (CRE)	Other Texas Region	2022-04-21	2033-04-21	638571.64	483837.01	7.9654	815465.57	Industrial	0	Current	-1	-1	-1	0.5933
L00000010	C237337	Residential Mortgage	Killeen, TX Metro	2019-06-05	2024-06-05	144678.17	130261.58	5.129	168526.51	Residential_Mortgage	0	Current	60424	702	0.38	0.7729
L00000011	C621430	Residential Mortgage	Other Texas Region	2023-12-20	2031-12-20	255276.19	207093.15	9.3264	267659.87	Residential_Mortgage	0	Current	40811	731	0.43	0.7737
L00000012	C187498	Commercial Real Estate (CRE)	Killeen, TX Metro	2020-11-27	2035-11-27	2785627.48	1633212.87	8.9266	3027427.49	Retail	0	Current	-1	-1	-1	0.5395
L00000013	C999159	Consumer Auto	Other Texas Region	2020-07-12	2031-07-12	190508.99	125107.22	9.8106	228749.53	Consumer_Auto	0	Current	177588	695	0.16	0.5469
L00000014	C275203	Residential Mortgage	Killeen, TX Metro	2022-06-06	2035-06-06	210184.16	87564.48	7.7921	255949.61	Residential_Mortgage	0	Current	113899	805	0.47	0.3421
L00000015	C291335	Commercial Real Estate (CRE)	Other Texas Region	2019-03-29	2037-03-29	1174206.35	1082298.82	5.823	1296178.99	Retail	0	Current	-1	-1	-1	0.835
L00000016	C378167	Consumer Auto	Other Texas Region	2018-09-15	2027-09-15	225826.26	141520.65	9.8346	230508.36	Consumer_Auto	0	Current	120289	630	0.38	0.614
L00000017	C141090	Personal Unsecured	Other Texas Region	2020-02-18	2043-02-18	123211.34	75583.01	10.6904	-1	Personal_Unsecured	0	Current	146228	695	0.43	0.4978
L00000018	C429365	Residential Mortgage	Killeen, TX Metro	2018-06-07	2033-06-07	109249.72	97182.8	13.2055	121047.36	Residential_Mortgage	0	Current	96721	670	0.21	0.8028
L00000019	C164820	Consumer Auto	Killeen, TX Metro	2018-06-21	2037-06-21	139578.25	130392.27	4.4777	170044.56	Consumer_Auto	0	Current	109766	695	0.23	0.7668
L00000020	C887201	Residential Mortgage	Killeen, TX Metro	2020-05-08	2041-05-08	91980.33	75594.48	10.0177	92359.19	Residential_Mortgage	90	Past Due (90+)	138401	652	0.3	0.8185
L00000021	C421879	Personal Unsecured	Other Texas Region	2020-11-04	2043-11-04	22979.69	16925.38	9.4126	-1	Personal_Unsecured	60	Past Due (60)	79978	783	0.47	0.5595
L00000022	C818315	Commercial Real Estate (CRE)	Other Texas Region	2021-05-19	2035-05-19	1088296.16	250798.39	8.375	1210575.16	Multi-Family	0	Current	-1	-1	-1	0.2072
L00000023	C427069	Personal Unsecured	Killeen, TX Metro	2019-10-30	2031-10-30	198774.92	148523.88	4.4968	-1	Personal_Unsecured	0	Current	119457	710	0.22	0.6657
L00000024	C876997	Residential Mortgage	Other Texas Region	2023-02-07	2029-02-07	367210.41	141566.13	5.727	392488.68	Residential_Mortgage	0	Current	42049	710	0.15	0.3607
L00000025	C299041	Residential Mortgage	Killeen, TX Metro	2020-07-06	2044-07-06	125184.84	119958.51	14.9876	166617.54	Residential_Mortgage	0	Current	93822	674	0.37	0.72
L00000026	C891743	Residential Mortgage	Other Texas Region	2020-08-13	2044-08-13	22273.62	2264.69	6.9414	25362.22	Residential_Mortgage	0	Current	55680	786	0.27	0.0893
L00000027	C203355	Commercial Real Estate (CRE)	Other Texas Region	2022-10-12	2043-10-12	844501.97	676228.91	7.2856	944268.37	Office	120	Default/Charge-Off	-1	-1	-1	0.7161
L00000028	C335796	Residential Mortgage	Other Texas Region	2020-11-11	2034-11-11	316235.58	220915.22	14.4703	403599.29	Residential_Mortgage	0	Current	100568	710	0.51	0.5474
L00000029	C314176	Residential Mortgage	Other Texas Region	2018-05-01	2039-05-01	54861.93	18617.37	13.9699	66445.46	Residential_Mortgage	0	Current	96550	749	0.54	0.2802
L00000030	C284779	Residential Mortgage	Killeen, TX Metro	2020-08-23	2035-08-23	75044.25	36570.6	7.8468	103942	Residential_Mortgage	0	Current	143783	742	0.3	0.3518
L00000031	C447449	Commercial Real Estate (CRE)	Other Texas Region	2021-07-14	2029-07-14	309111.31	81586.54	7.0142	381923.3	Retail	0	Current	-1	-1	-1	0.2136
L00000032	C521909	Residential Mortgage	Other Texas Region	2018-12-09	2031-12-09	2441.13	1358.25	12.9745	2474.3	Residential_Mortgage	0	Current	152859	679	0.32	0.5489
L00000033	C358795	Residential Mortgage	Killeen, TX Metro	2018-04-17	2024-04-17	118417.97	116345.21	14.3333	121618.12	Residential_Mortgage	0	Current	78680	694	0.2	0.9566
L00000034	C586232	Residential Mortgage	Other Texas Region	2021-04-21	2036-04-21	89711.72	43718.91	6.515	98760.52	Residential_Mortgage	0	Current	179510	746	0.4	0.4427
L00000035	C600186	Residential Mortgage	Killeen, TX Metro	2018-06-19	2032-06-19	159872.71	45555.65	7.041	164578.31	Residential_Mortgage	0	Current	104208	695	0.52	0.2768
L00000036	C256730	Commercial Real Estate (CRE)	Other Texas Region	2020-10-30	2029-10-30	1341405.54	1086632.04	5.5743	1715638.51	Multi-Family	0	Current	-1	-1	-1	0.6334
L00000037	C970910	Residential Mortgage	Killeen, TX Metro	2023-07-17	2036-07-17	137999.73	36031.86	9.5544	147351.57	Residential_Mortgage	0	Current	20000	673	0.18	0.2445
L00000038	C484681	Consumer Auto	Other Texas Region	2020-09-19	2036-09-19	210443.71	44608.36	9.9324	261284.28	Consumer_Auto	0	Current	105168	719	0.37	0.1707
L00000039	C249503	Commercial Real Estate (CRE)	Other Texas Region	2022-08-09	2043-08-09	546743.82	377534.49	6.3139	603607.54	Retail	0	Current	-1	-1	-1	0.6255
L00000040	C754811	Commercial Real Estate (CRE)	Other Texas Region	2023-09-04	2040-09-04	1637060.19	332647.4	6.019	1942407.51	Office	0	Current	-1	-1	-1	0.1713
L00000041	C627035	Residential Mortgage	Other Texas Region	2021-08-12	2035-08-12	158943.66	65299.08	13.2926	194427.39	Residential_Mortgage	0	Current	145704	700	0.16	0.3359
L00000042	C748143	Residential Mortgage	Killeen, TX Metro	2020-08-17	2034-08-17	62794.63	56854.03	8.2486	67352.15	Residential_Mortgage	0	Current	159227	652	0.38	0.8441
L00000043	C552366	Residential Mortgage	Other Texas Region	2023-09-14	2036-09-14	316152.59	187077.6	5.6845	360995.36	Residential_Mortgage	0	Current	62733	713	0.42	0.5182
L00000044	C165725	Personal Unsecured	Killeen, TX Metro	2021-03-25	2031-03-25	157343.25	18142.22	11.2426	-1	Personal_Unsecured	0	Current	57356	704	0.25	0.1118
L00000045	C229981	Consumer Auto	Other Texas Region	2019-02-01	2037-02-01	190003.87	72468.61	13.3355	203555	Consumer_Auto	0	Current	58681	717	0.52	0.356
L00000046	C184654	Residential Mortgage	Other Texas Region	2022-06-29	2030-06-29	173707.04	53884.15	8.8122	233523.32	Residential_Mortgage	0	Current	20000	704	0.52	0.2307
L00000047	C691723	Residential Mortgage	Other Texas Region	2020-05-04	2040-05-04	1000	967.08	6.3229	1338.31	Residential_Mortgage	0	Current	45165	786	0.15	0.7226
L00000048	C419030	Commercial Real Estate (CRE)	Other Texas Region	2021-07-03	2039-07-03	778391.98	727487.99	6.2066	785957.28	Industrial	0	Current	-1	-1	-1	0.9256
L00000049	C428947	Residential Mortgage	Other Texas Region	2020-05-28	2033-05-28	77201.43	21937.7	12.9208	77344.31	Residential_Mortgage	0	Current	111762	648	0.55	0.2836
