customer_id	loan_id	region_killeen
C468452	L00000277	Killeen, TX Metro
C371830	L00002752	Killeen, TX Metro
C334213	L00002971	Other Texas Region
C389910	L00003285	Killeen, TX Metro
C578336	L00003611	Killeen, TX Metro
C600844	L00003978	Other Texas Region
C570529	L00004040	Other Texas Region
C350100	L00004160	Killeen, TX Metro
C457574	L00005640	Killeen, TX Metro
C312792	L00007723	Other Texas Region
C520993	L00007865	Other Texas Region
C591966	L00008023	Other Texas Region
C329047	L00008206	Other Texas Region
C547746	L00008833	Other Texas Region
C105636	L00008862	Other Texas Region
C293646	L00009596	Other Texas Region
C794186	L00009725	Other Texas Region
C836618	L00011240	Killeen, TX Metro
C292593	L00012346	Other Texas Region
C120874	L00012471	Killeen, TX Metro
C478355	L00012916	Other Texas Region
C362070	L00012996	Killeen, TX Metro
C427597	L00013788	Killeen, TX Metro
C705750	L00014531	Other Texas Region
C193708	L00015396	Killeen, TX Metro
C509579	L00015736	Other Texas Region
C355931	L00016254	Killeen, TX Metro
C908538	L00016444	Other Texas Region
C890555	L00017698	Killeen, TX Metro
C703347	L00018808	Killeen, TX Metro
C814622	L00018981	Other Texas Region
C976882	L00019021	Killeen, TX Metro
C102175	L00019131	Other Texas Region
C998196	L00019262	Killeen, TX Metro
C429314	L00019511	Other Texas Region
C928556	L00024523	Killeen, TX Metro
C495198	L00024525	Other Texas Region
C927058	L00025042	Other Texas Region
C237693	L00025480	Other Texas Region
C837605	L00026711	Other Texas Region
C265379	L00027369	Other Texas Region
C544194	L00029212	Other Texas Region
C552517	L00030173	Other Texas Region
C955150	L00031255	Other Texas Region
C746640	L00031447	Other Texas Region
C719492	L00031592	Killeen, TX Metro
C603646	L00031856	Killeen, TX Metro
C732206	L00032021	Killeen, TX Metro
C511038	L00033215	Killeen, TX Metro
C269271	L00033250	Killeen, TX Metro
C128337	L00034127	Other Texas Region
C128787	L00034561	Other Texas Region
C723715	L00035597	Other Texas Region
C461515	L00037342	Other Texas Region
C256627	L00037886	Other Texas Region
C895923	L00038176	Other Texas Region
C300344	L00038654	Other Texas Region
C634127	L00038958	Other Texas Region
C441769	L00039495	Other Texas Region
C106878	L00039930	Killeen, TX Metro
C123409	L00040012	Killeen, TX Metro
C988447	L00042985	Other Texas Region
C667577	L00045061	Killeen, TX Metro
C619412	L00045793	Killeen, TX Metro
C357183	L00045803	Other Texas Region
C957622	L00045896	Other Texas Region
C777095	L00047084	Other Texas Region
C662060	L00048240	Other Texas Region
C507503	L00049336	Other Texas Region
C412252	L00000365	Killeen, TX Metro
C650448	L00002674	Other Texas Region
C692344	L00003226	Killeen, TX Metro
C860278	L00004697	Killeen, TX Metro
C105668	L00005430	Other Texas Region
C326453	L00007074	Other Texas Region
C317394	L00008951	Other Texas Region
C318827	L00010263	Other Texas Region
C492647	L00010672	Other Texas Region
C941279	L00011004	Other Texas Region
C435988	L00014986	Killeen, TX Metro
